token_addr_idx,top1_holder_ratio,pair_holder_ratio,top10_holder_ratio,top20_holder_ratio,token_creator_holder_ratio,price_ratio_realized_vol,price_ratio_range,reserve_base_realized_vol,reserve_quote_realized_vol,swap_buy_share,swap_net_flow_ratio,swap_direction_switch_freq
138,0.9991,0.0,1.0,1.0,0.9991,0.01030931274299462,0.44717552725000154,8.79116542154283,10.721267532756643,0.04655050341301971,-0.9068989931739606,0.16666666666666666
139,0.9992,0.0,0.9999999999999999,0.9999999999999999,0.9992,0.0037368446539961554,0.18912926188000156,10.460455829215116,12.724411421067764,0.0,-1.0,0.0
140,0.5,0.0,0.9872,0.9965999999999998,0.0067,0.05032455286820018,3.97271208907,1.285121353171559,1.631001281578269,0.465225106923991,-0.06954978615201801,0.356
141,0.9998,0.0,1.0,1.0,0.9998,0.0006294495085603774,0.01987095839999853,10.424688315727755,20.91682307653552,0.0,-1.0,0.0
142,0.9999,0.0001,1.0,1.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.9979,0.0,0.9999999999999999,0.9999999999999999,0.9979,0.012987158261094985,0.8278443593799993,7.879726370650932,9.442543431431053,0.0,-1.0,0.0
144,0.9993,0.0001,0.9997999999999999,0.9997999999999999,0.9993,13.11617481614373,53.72058363519984,17.591058328935077,19.765495446113363,0.13486833086683742,-0.7302633382663253,0.2727272727272727
145,0.9983,0.0002,0.9996999999999998,0.9997999999999999,0.9983,6.32235500352733,52.23069098349988,10.64455702339259,11.97510470629877,0.28082415163227453,-0.4383516967354508,0.5094339622641509
146,0.9969,0.0,1.0,1.0,0.9969,0.0033938215204098445,0.13497105729999959,14.371748764652294,18.484329350774264,0.047116687487663615,-0.9057666250246726,0.6666666666666666
147,0.9979,0.0,1.0001,1.0001,0.9979,0.0033939195302137458,0.13185968750000043,9.684552958572588,12.461252529441389,0.328853595275966,-0.342292809448068,0.5555555555555556
148,0.996,0.0,0.9996999999999999,0.9998999999999999,0.996,0.01005802674148775,0.6455984544,7.389410672259962,9.403625909106955,0.23125777587499025,-0.5374844482500195,0.35294117647058826
149,0.9948,0.0,0.9991,0.9999,0.9948,0.0033195051572287807,0.17375098970000025,6.3089406424202,8.10712009371092,0.13200408341612485,-0.7359918331677504,0.16666666666666666
150,0.9999,0.0,1.0,1.0,0.9999,0.010637666473603926,1.19643914293,8.75691181706646,10.831471410950252,0.32873421111092493,-0.3425315777781502,0.2916666666666667
151,0.9997,0.0,1.0001,1.0001,0.9997,0.006286702001748947,0.2757677435800012,8.676418738715531,10.893510144359393,0.23136711558151904,-0.537265768836962,0.16666666666666666
152,0.529,0.0,0.9938000000000001,0.9984,0.0,0.007586137904871416,2.140456599380001,0.002474652739808316,0.007024898967816474,0.49738825065062847,-0.005223498698742978,0.4230769230769231
153,0.9994,0.0,0.9997999999999999,0.9997999999999999,0.9994,0.004297851000105594,0.21150183800000022,18.528427337458886,23.723919584910313,0.0,-1.0,0.0
154,0.9997,0.0,1.0,1.0,0.9997,0.006346541900901084,0.11777470290999936,22.947101002081336,28.93609139426433,0.0,-1.0,0.0
155,0.9998,0.0,1.0,1.0,0.9998,0.0008867997347268311,0.03944689709999949,13.105498874868577,16.804963158344204,0.0,-1.0,0.0
156,0.2961,0.2961,0.8002,0.888,0.1429,0.01006751247416035,1.0165867627999994,0.00615318746295566,0.11930544806485621,0.0,-1.0,0.0
157,0.9887,0.0,1.0,1.0,0.9887,5.8600601371735666,14.5037466991,4.133704131777658,6.789907463049867,0.41862129482556215,-0.16275741034887564,0.375
158,0.9797,0.0002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.8684,0.0,0.9998999999999999,0.9998999999999999,0.8684,0.12362266250422675,6.48636425664,2.4695731590617314,4.862988249020406,0.4456297854473902,-0.10874042910521964,0.3125
